code,name,city,country
AAH,Flugplatz Merzbrueck,Aachen,Germany
AAJ,Cayana Airstrip,Cayana,Suriname
AAK,Aranuka Airport,Buariki,Kiribati
AAL,Aalborg,Aalborg,Denmark
AAM,Malamala Airport,Malamala,South Africa
AAN,Al Ain International Airport,Al Ain,United Arab Emirates
AAO,Anaco,Anaco,Venezuela
AAP,Andrau Airport,Houston,United States
AAQ,Vityazevo,Anapa,Russia
AAR,Aarhus,Aarhus,Denmark
AAT,Altay Airport,Altay,China
AAU,Asau Airport,Savai'i,Samoa
AAX,Araxa Airport,Araxa,Brazil
AAY,Al Ghaidah Intl,Al Ghaidah Intl,Yemen
AAZ,Quezaltenango Airport,Quezaltenango,Guatemala
ABA,Abakan,Abakan,Russia
ABD,Abadan,Abadan,Iran
ABE,Lehigh Valley Intl,Allentown,United States
ABF,Abaiang Atoll Airport,Abaiang Atoll,Kiribati
ABI,Abilene Rgnl,Abilene,United States
ABJ,Abidjan Felix Houphouet Boigny Intl,Abidjan,Cote d'Ivoire
ABK,Kabri Dehar Airport,Kabri Dehar,Ethiopia
ABL,Ambler Airport,Ambler,United States
ABM,Bamaga Injinoo,Amberley,Australia
ABN,Albina Airstrip,Albina,Suriname
ABQ,Albuquerque International Sunport,Albuquerque,United States
ABR,Aberdeen Regional Airport,Aberdeen,United States
ABS,Abu Simbel,Abu Simbel,Egypt
ABT,Al Baha,El-baha,Saudi Arabia
ABV,Nnamdi Azikiwe Intl,Abuja,Nigeria
ABX,Albury,Albury,Australia
ABY,Southwest Georgia Regional Airport,Albany,United States
ABZ,Dyce,Aberdeen,United Kingdom
ACA,General Juan N Alvarez Intl,Acapulco,Mexico
ACC,Kotoka Intl,Accra,Ghana
ACD,Alcides Fernandez Airport,Acandi,Colombia
ACE,Lanzarote,Las Palmas,Spain
ACH,St Gallen Altenrhein,Altenrhein,Switzerland
ACI,Alderney,Alderney,Guernsey
ACJ,Jimmy Carter Regional,Americus,United States
ACK,Nantucket Mem,Nantucket,United States
ACP,Sahand Airport,Maragheh,Iran
ACR,Araracuara Airport,Araracuara,Colombia
ACT,Waco Rgnl,Waco,United States
ACU,Achutupo Airport,Achutupo,Panama
ACV,Arcata,Arcata CA,United States
ACX,Xingyi Airport,Xingyi,China
ACY,Atlantic City Intl,Atlantic City,United States
ADA,Adana,Adana,Turkey
ADB,Adnan Menderes,Izmir,Turkey
ADD,Bole Intl,Addis Ababa,Ethiopia
ADE,Aden Intl,Aden,Yemen
ADF,Adiyaman Airport,Adiyaman,Turkey
ADH,Aldan Airport,Aldan,Russia
ADJ,Marka Intl,Amman,Jordan
ADK,Adak Airport,Adak Island,United States
ADL,Adelaide Intl,Adelaide,Australia
ADM,Ardmore Muni,Ardmore,United States
ADQ,Kodiak,Kodiak,United States
ADS,Addison,Addison,United States
ADU,Ardabil Airport,Ardabil,Iran
ADW,Andrews Afb,Camp Springs,United States
ADX,Leuchars,Leuchars,United Kingdom
ADY,Alldays Airport,Alldays,South Africa
ADZ,Gustavo Rojas Pinilla,San Andres Island,Colombia
AEA,Abemama Atoll Airport,Abemama,Kiribati
AEB,Tianyang,Baise,China
AEH,Abeche,Abeche,Chad
AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina
AER,Sochi,Sochi,Russia
AES,Vigra,Alesund,Norway
AET,Allakaket Airport,Allakaket,United States
AEX,Alexandria Intl,Alexandria,United States
AEY,Akureyri,Akureyri,Iceland
AFA,San Rafael,San Rafael,Argentina
AFE,Kake Airport,Kake,United States
AFL,Alta Floresta,Alta Floresta,Brazil
AFS,Sugraly Airport,Zarafshan,Uzbekistan
AFT,Afutara Airport,Afutara,Solomon Islands
AFW,Fort Worth Alliance Airport,Fort Worth,United States
AFY,Afyon,Afyon,Turkey
AFZ,Sabzevar National Airport,Sabzevar,Iran
AGA,Inezgane,Agadir,Morocco
AGB,Augsburg,Augsburg,Germany
AGC,Allegheny County Airport,Pittsburgh,United States
AGE,Wangerooge Airport,Wangerooge,Germany
AGF,La Garenne,Agen,France
AGH,��ngelholm-Helsingborg Airport,��ngelholm,Sweden
AGI,Wageningen Airstrip,Wageningen,Suriname
AGJ,Aguni Airport,Aguni,Japan
AGL,Wanigela Airport,Wanigela,Papua New Guinea
AGM,Tasiilaq,Angmagssalik,Greenland
AGN,Angoon Seaplane Base,Angoon,United States
AGP,Malaga,Malaga,Spain
AGQ,Agrinion,Agrinion,Greece
AGR,Agra,Agra,India
AGS,Augusta Rgnl At Bush Fld,Bush Field,United States
AGT,Ciudad del Este,Ciudad del Este,Paraguay
AGU,Jesus Teran Intl,Aguascalientes,Mexico
AGV,Oswaldo Guevara Mujica,Acarigua,Venezuela
AGX,Agatti,Agatti Island,India
AGZ,Aggeneys,Aggeneys,South Africa
AHB,Abha,Abha,Saudi Arabia
AHE,Ahe Airport,Ahe,French Polynesia
AHN,Athens Ben Epps Airport,Athens,United States
AHO,Alghero,Alghero,Italy
AHS,Ahuas Airport,Ahuas,Honduras
AHU,Cherif El Idrissi,Al Hociema,Morocco
AIA,Alliance Municipal Airport,Alliance,United States
AIC,Airok Airport,Airok,Marshall Islands
AIE,Aiome,Aiome,Papua New Guinea
AIK,Municipal Airport,Aiken,United States
AIM,Ailuk Airport,Ailuk Island,Marshall Islands
AIN,Wainwright Airport,Wainwright,United States
AIS,Arorae Island Airport,Arorae,Kiribati
AIT,Aitutaki,Aitutaki,Cook Islands
AIU,Atiu Island Airport,Atiu Island,Cook Islands
AIZ,Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States
AJA,Campo Dell Oro,Ajaccio,France
AJF,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia
AJI,Agri Airport,Agri,Turkey
AJL,Aizawl,Aizwal,India
AJN,Ouani,Anjouan,Comoros
AJR,Arvidsjaur,Arvidsjaur,Sweden
AJU,Santa Maria,Aracaju,Brazil
AJY,Manu Dayak,Agadez,Niger
AKA,Ankang Airport,Ankang,China
AKB,Atka Airport,Atka,United States
AKC,Akron Fulton Intl,Akron,United States
AKD,Akola,Akola,India
AKF,Kufra,Kufra,Libya
AKI,Akiak Airport,Akiak,United States
AKJ,Asahikawa,Asahikawa,Japan
AKK,Akhiok Airport,Akhiok,United States
AKL,Auckland Intl,Auckland,New Zealand
AKN,King Salmon,King Salmon,United States
AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,United States
AKR,Akure,Akure,Nigeria
AKS,Auki Airport,Auki,Solomon Islands
AKT,Akrotiri,Akrotiri,Cyprus
AKU,Aksu Airport,Aksu,China
AKV,Akulivik Airport,Akulivik,Canada
AKX,Aktyubinsk,Aktyubinsk,Kazakhstan
AKY,Sittwe,Sittwe,Myanmar
ALA,Almaty,Alma-ata,Kazakhstan
ALB,Albany Intl,Albany,United States
ALC,Alicante,Alicante,Spain
ALF,Alta,Alta,Norway
ALG,Houari Boumediene,Algier,Algeria
ALH,Albany Airport,Albany,Australia
ALI,Alice Intl,Alice,United States
ALJ,Alexander Bay,Alexander Bay,South Africa
ALL,Albenga,Albenga,Italy
ALM,Alamogordo White Sands Regional Airport,Alamogordo,United States
ALO,Waterloo Regional Airport,Waterloo,United States
ALP,Aleppo Intl,Aleppo,Syria
ALR,Alexandra,Alexandra,New Zealand
ALS,San Luis Valley Regional Airport,Alamosa,United States
ALU,Alula Airport,Alula,Somalia
ALW,Walla Walla Regional Airport,Walla Walla,United States
ALX,Alexandria,Alexandria,United States
ALY,Alexandria Intl,Alexandria,Egypt
ALZ,Alitak Seaplane Base,Lazy Bay,United States
AMA,Rick Husband Amarillo Intl,Amarillo,United States
AMB,Ambilobe,Ambilobe,Madagascar
AMC,Am Timan Airport,Am Timan,Chad
AMD,Ahmedabad,Ahmedabad,India
AMH,Arba Minch,Arba Minch,Ethiopia
AMI,Selaparang,Mataram,Indonesia
AMM,Queen Alia Intl,Amman,Jordan
AMQ,Pattimura,Ambon,Indonesia
AMS,Schiphol,Amsterdam,Netherlands
AMV,Amderma Airport,Amderma,Russia
AMY,Ambatomainty Airport,Ambatomainty,Madagascar
AMZ,Ardmore,Ardmore,New Zealand
ANB,Anniston Metro,Anniston,United States
ANC,Ted Stevens Anchorage Intl,Anchorage,United States
AND,Anderson Rgnl,Andersen,United States
ANE,Angers-Loire Airport,Angers/Marc̩,France
ANF,Cerro Moreno Intl,Antofagasta,Chile
ANG,Brie Champniers,Angouleme,France
ANI,Aniak Airport,Aniak,United States
ANK,Etimesgut,Ankara,Turkey
ANM,Antsirabato,Antalaha,Madagascar
ANN,Annette Island,Annette Island,United States
ANP,Lee Airport,Annapolis,United States
ANQ,Tri-State Steuben County Airport,Angola,United States
ANR,Deurne,Antwerp,Belgium
ANS,Andahuaylas,Andahuaylas,Peru
ANU,V C Bird Intl,Antigua,Antigua and Barbuda
ANV,Anvik Airport,Anvik,United States
ANX,Andenes,Andoya,Norway
AOC,Altenburg Nobitz,Altenburg,Germany
AOE,Anadolu Airport,Eskissehir,Turkey
AOH,Lima Allen County Airport,Lima,United States
AOI,Falconara,Ancona,Italy
AOJ,Aomori,Aomori,Japan
AOK,Karpathos,Karpathos,Greece
AOL,Paso De Los Libres,Paso De Los Libres,Argentina
AOO,Altoona Blair Co,Altoona,United States
AOR,Sultan Abdul Halim,Alor Setar,Malaysia
AOS,Amook Bay Seaplane Base,Amook Bay,United States
AOT,Aosta Airport,Aosta,Italy
APA,Centennial,Denver,United States
APC,Napa County Airport,Napa,United States
APF,Naples Muni,Naples,United States
APG,Phillips Aaf,Aberdeen,United States
APK,Apataki Airport,Apataki,French Polynesia
APL,Nampula,Nampula,Mozambique
APN,Alpena County Regional Airport,Alpena,United States
APO,Apartad�_ Airport,Apartad�_,Colombia
APW,Faleolo Intl,Faleolo,Samoa
APZ,Zapala,Zapala,Argentina
AQA,Araraquara,Araracuara,Brazil
AQB,Santa Cruz des Quiche Airport,Santa Cruz des Quiche,Guatemala
AQC,Klawock Seaplane Base,Klawock,United States
AQG,Anqing Airport,Anqing,China
AQI,Qaisumah,Hafr Al-batin,Saudi Arabia
AQJ,Aqaba King Hussein Intl,Aqaba,Jordan
AQP,Rodriguez Ballon,Arequipa,Peru
ARA,Acadiana Rgnl,Louisiana,United States
ARB,Ann Arbor Municipal Airport,Ann Arbor,United States
ARC,Arctic Village Airport,Arctic Village,United States
ARD,Mali Airport,Alor Island,Indonesia
ARE,Antonio Juarbe Pol Airport,Arecibo,Puerto Rico
ARH,Talagi,Arkhangelsk,Russia
ARI,Chacalluta,Arica,Chile
ARK,Arusha,Arusha,Tanzania
ARM,Armidale,Armidale,Australia
ARN,Arlanda,Stockholm,Sweden
ARR,Alto Rio Senguer Airport,Alto Rio Senguer,Argentina
ART,Watertown Intl,Watertown,United States
ARU,Aracatuba,Aracatuba,Brazil
ARV,Lakeland,Minocqua - Woodruff,United States
ARW,Arad,Arad,Romania
ASA,Assab Intl,Assab,Eritrea
ASB,Ashgabat,Ashkhabad,Turkmenistan
ASD,Fresh Creek,Andros Town,Bahamas
ASE,Aspen Pitkin County Sardy Field,Aspen,United States
ASF,Astrakhan,Astrakhan,Russia
ASH,Boire Field Airport,Nashua,United States
ASI,Wideawake Field,Georgetown Acension Island Santa Helena,United Kingdom
ASJ,Amami,Amami,Japan
ASK,Yamoussoukro,Yamoussoukro,Cote d'Ivoire
ASM,Asmara Intl,Asmara,Eritrea
ASO,Asosa,Asosa,Ethiopia
ASP,Alice Springs,Alice Springs,Australia
ASR,Erkilet,Kayseri,Turkey
AST,Astoria Regional Airport,Astoria,United States
ASU,Silvio Pettirossi Intl,Asuncion,Paraguay
ASV,Amboseli Airport,Amboseli National Park,Kenya
ASW,Aswan Intl,Aswan,Egypt
ATA,Comandante Fap German Arias Graziani,Anta,Peru
ATB,Atbara Airport,Atbara,Sudan
ATC,Arthurs Town Airport,Arthur's Town,Bahamas
ATD,Uru Harbour Airport,Atoifi,Solomon Islands
ATF,Chachoan,Ambato,Ecuador
ATH,Eleftherios Venizelos Intl,Athens,Greece
ATJ,Antsirabe,Antsirabe,Madagascar
ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States
ATL,Hartsfield Jackson Atlanta Intl,Atlanta,United States
ATM,Altamira,Altamira,Brazil
ATP,Tadji Airport,Aitape,Papua New Guinea
ATQ,Amritsar,Amritsar,India
ATR,Atar,Atar,Mauritania
ATT,Camp Mabry Austin City,Austin TX,United States
ATW,Appleton,Appleton,United States
ATY,Watertown Regional Airport,Watertown,United States
ATZ,Asyut International Airport,Asyut,Egypt
AUA,Reina Beatrix Intl,Oranjestad,Aruba
AUB,Augsburg HBF,Augsburg,Germany
AUC,Santiago Perez,Arauca,Colombia
AUF,Branches,Auxerre,France
AUG,Augusta State,Augusta,United States
AUH,Abu Dhabi Intl,Abu Dhabi,United Arab Emirates
AUJ,Ambunti,Ambunti,Papua New Guinea
AUK,Alakanuk Airport,Alakanuk,United States
AUL,Aur Island Airport,Aur Atoll,Marshall Islands
AUO,Auburn University Regional,Auburn,United States
AUQ,Hiva Oa-Atuona Airport,Hiva-oa,French Polynesia
AUR,Aurillac,Aurillac,France
AUS,Austin Bergstrom Intl,Austin,United States
AUU,Aurukun Airport,Aurukun,Australia
AUW,Wausau Downtown Airport,Wausau,United States
AUX,Araguaina Airport,Araguaina,Brazil
AUY,Anelghowhat Airport,Anelghowhat,Vanuatu
AVB,Aviano Ab,Aviano,Italy
AVI,Maximo Gomez,Ciego De Avila,Cuba
AVK,Arvaikheer Airport,Arvaikheer,Mongolia
AVL,Asheville Regional Airport,Asheville,United States
AVN,Caumont,Avignon,France
AVO,Executive,Avon Park,United States
AVP,Wilkes Barre Scranton Intl,Scranton,United States
AVV,Avalon,Avalon,Australia
AVW,Marana Regional,Tucson,United States
AVX,Avalon,Catalina Island,United States
AWA,Awasa Airport,Awasa,Ethiopia
AWB,Awaba Airport,Awaba,Papua New Guinea
AWD,Aniwa Airport,Aniwa,Vanuatu
AWK,Wake Island Afld,Wake island,Wake Island
AWZ,Ahwaz,Ahwaz,Iran
AXA,Wallblake,The Valley,Anguilla
AXD,Dimokritos,Alexandroupolis,Greece
AXJ,Amakusa Airfield,Amakusa,Japan
AXK,Ataq,Ataq,Yemen
AXM,El Eden,Armenia,Colombia
AXP,Spring Point,Spring Point,Bahamas
AXR,Arutua,Arutua,French Polynesia
AXT,Akita,Akita,Japan
AXU,Axum,Axum,Ethiopia
AYK,Arkalyk Airport,Arkalyk,Kazakhstan
AYP,Coronel Fap Alfredo Mendivil Duarte,Ayacucho,Peru
AYQ,Ayers Rock,Uluru,Australia
AYT,Antalya,Antalya,Turkey
AZ3,Sharona,Sharona,Afghanistan
AZA,Phoenix-Mesa Gateway,Mesa,United States
AZD,Yazd Shahid Sadooghi,Yazd,Iran
AZI,Bateen,Abu Dhabi,United Arab Emirates
AZN,Andizhan Airport,Andizhan,Uzbekistan
AZO,Kalamazoo,Kalamazoo,United States
AZR,Touat Cheikh Sidi Mohamed Belkebir,Adrar,Algeria
AZS,Saman�� El Catey International Airport,Samana,Dominican Republic
BAB,Beale Afb,Marysville,United States
BAD,Barksdale Afb,Shreveport,United States
BAF,Barnes Municipal,Westfield,United States
BAG,Baguio,Baguio,Philippines
BAH,Bahrain Intl,Bahrain,Bahrain
BAK,Heydar Aliyev,Baku,Azerbaijan
BAL,Batman,Batman,Turkey
BAM,Bamberg BF,Bamberg,Germany
BAQ,Ernesto Cortissoz,Barranquilla,Colombia
BAS,Ballalae Airport,Ballalae,Solomon Islands
BAU,Bauru,Bauru,Brazil
BAV,Baotou Airport,Baotou,China
BAX,Barnaul,Barnaul,Russia
BAY,Tautii Magheraus,Baia Mare,Romania
BAZ,Barcelos Airport,Barcelos,Brazil
BBA,Balmaceda,Balmaceda,Chile
BBG,Butaritari Atoll Airport,Butaritari,Kiribati
BBH,Barth,Barth,Germany
BBI,Bhubaneshwar,Bhubaneswar,India
BBJ,Bautzen,Bautzen,Germany
BBK,Kasane,Kasane,Botswana
BBM,Battambang Airport,Battambang,Cambodia
BBN,Bario Airport,Bario,Malaysia
BBO,Berbera,Berbera,Somalia
BBP,Bembridge,Bembridge,United Kingdom
BBQ,Codrington Airport,Codrington,Antigua and Barbuda
BBR,Baillif Airport,Basse Terre,Guadeloupe
BBS,Blackbushe,Blackbushe,United Kingdom
BBT,Berberati,Berberati,Central African Republic
BBU,Aurel Vlaicu,Bucharest,Romania
BBX,Wings Field,Philadelphia,United States
BCA,Gustavo Rizo,Baracoa Playa,Cuba
BCD,Bacolod,Bacolod,Philippines
BCE,Bryce Canyon,Bryce Canyon,United States
BCI,Barcaldine Airport,Barcaldine,Australia
BCL,Barra del Colorado Airport,Pococi,Costa Rica
BCM,Bacau,Bacau,Romania
BCN,Barcelona,Barcelona,Spain
BCO,Baco Airport,Baco,Ethiopia
BCT,Boca Raton,Boca Raton,United States
BCV,Hector Silva Airstrip,Belmopan,Belize
BCW,Benguera Island Airport,Benguera Island,Mozambique
BDA,Bermuda Intl,Bermuda,Bermuda
BDB,Bundaberg,Bundaberg,Australia
BDD,Badu Island Airport,Badu Island,Australia
BDE,Baudette Intl,Baudette,United States
BDH,Bandar Lengeh,Bandar Lengeh,Iran
BDI,Bird Island Airport,Bird Island,Seychelles
BDJ,Syamsudin Noor,Banjarmasin,Indonesia
BDL,Bradley Intl,Windsor Locks,United States
BDM,Bandirma,Bandirma,Turkey
BDN,Talhar,Talhar,Pakistan
BDO,Husein Sastranegara,Bandung,Indonesia
BDP,Chandragadhi Airport,Chandragarhi,Nepal
BDQ,Vadodara,Baroda,India
BDR,Igor I Sikorsky Mem,Stratford,United States
BDS,Casale,Brindisi,Italy
BDT,Gbadolite,Gbadolite,Congo (Kinshasa)
BDU,Bardufoss,Bardufoss,Norway
BE2,Port of Belfast,Belfast,United Kingdom
BEB,Benbecula,Benbecula,United Kingdom
BEC,Beech Factory Airport,Wichita,United States
BED,Laurence G Hanscom Fld,Bedford,United States
BEF,Bluefields,Bluefields,Nicaragua
BEG,Beograd,Belgrade,Serbia
BEH,Southwest Michigan Regional Airport,Benton Harbor,United States
BEI,Beica Airport,Beica,Ethiopia
BEJ,Barau(Kalimaru) Airport,Tanjung Redep-Borneo Island,Indonesia
BEL,Val De Cans Intl,Belem,Brazil
BEN,Benina,Benghazi,Libya
BEO,Belmont Airport,Lake Macquarie,Australia
BEP,Bellary,Bellary,India
BEQ,Honington,Honington,United Kingdom
BER,Berlin Brandenburg Willy Brandt,Berlin,Germany
BES,Guipavas,Brest,France
BET,Bethel,Bethel,United States
BEU,Bedourie Airport,Bedourie,Australia
BEV,Teyman,Beer-sheba,Israel
BEW,Beira,Beira,Mozambique
BEY,Rafic Hariri Intl,Beirut,Lebanon
BEZ,Beru Island Airport,Beru Island,Kiribati
BFD,Bradford Regional Airport,Bradford,United States
BFF,Western Nebraska Regional Airport,Scottsbluff,United States
BFH,Bacacheri,Curitiba,Brazil
BFI,Boeing Fld King Co Intl,Seattle,United States
BFJ,Bijie Feixiong Airport,Bijie,China
BFL,Meadows Fld,Bakersfield,United States
BFM,Mobile Downtown,Mobile,United States
BFN,Bloemfontein Intl,Bloemfontein,South Africa
BFO,Buffalo Range,Chiredzi,Zimbabwe
BFP,Beaver Falls,Beaver Falls,United States
BFQ,Bahia Pi̱a Airport,Bahia Pi̱a,Panama
BFS,Belfast Intl,Belfast,United Kingdom
BFT,Beaufort County Airport,Beaufort,United States
BFV,Buri Ram,Buri Ram,Thailand
BFX,Bafoussam,Bafoussam,Cameroon
BGA,Palonegro,Bucaramanga,Colombia
BGC,Braganca,Braganca,Portugal
BGE,Decatur County Industrial Air Park,Bainbridge,United States
BGF,Bangui M Poko,Bangui,Central African Republic
BGG,Bingol,Bingol,Turkey
BGI,Grantley Adams Intl,Bridgetown,Barbados
BGK,Big Creek Airport,Big Creek,Belize
BGM,Greater Binghamton Edwin A Link Fld,Binghamton,United States
BGO,Flesland,Bergen,Norway
BGR,Bangor Intl,Bangor,United States
BGS,Gesundbrunnen,Berlin,Germany
BGW,Baghdad International Airport,Baghdad,Iraq
BGX,Comandante Gustavo Kraemer,Bage,Brazil
BGY,Bergamo Orio Al Serio,Bergamo,Italy
BHB,Hancock County - Bar Harbor,Bar Harbor,United States
BHD,Belfast City,Belfast,United Kingdom
BHE,Woodbourne,Woodbourne,New Zealand
BHF,Ostbahnhof,Berlin,Germany
BHG,Brus Laguna Airport,Brus Laguna,Honduras
BHH,Bisha,Bisha,Saudi Arabia
BHI,Comandante Espora,Bahia Blanca,Argentina
BHJ,Bhuj,Bhuj,India
BHK,Bukhara,Bukhara,Uzbekistan
BHM,Birmingham Intl,Birmingham,United States
BHN,Beihan,Beihan,Yemen
BHO,Bhopal,Bhopal,India
BHP,Bhojpur,Bhojpur,Nepal
BHQ,Broken Hill Airport,Broken Hill,Australia
BHR,Bharatpur Airport,Bharatpur,Nepal
BHS,Bathurst Airport,Bathurst,Australia
BHU,Bhavnagar,Bhaunagar,India
BHV,Bahawalpur Airport,Bahawalpur,Pakistan
BHX,Birmingham,Birmingham,United Kingdom
BHY,Beihai Airport,Beihai,China
BHZ,Pampulha,Belo Horizonte,Brazil
BIA,Poretta,Bastia,France
BID,Block Island State Airport,Block Island,United States
BIE,Biessenhofen BF,Biessenhofen,Germany
BIF,Biggs Aaf,El Paso,United States
BIG,Allen Aaf,Delta Junction,United States
BII,Enyu Airfield,Bikini Atoll,Marshall Islands
BIK,Frans Kaisiepo,Biak,Indonesia
BIL,Billings Logan International Airport,Billings,United States
BIM,South Bimini,Alice Town,Bahamas
BIN,Bamyan Airport,Bamyan,Afghanistan
BIO,Bilbao,Bilbao,Spain
BIQ,Anglet,Biarritz-bayonne,France
BIR,Biratnagar,Biratnagar,Nepal
BIS,Bismarck Municipal Airport,Bismarck,United States
BIU,Bildudalur Airport,Bildudalur,Iceland
BIV,Tulip City Airport,Holland,United States
BIX,Keesler Afb,Biloxi,United States
BIY,Bhisho,Bisho,South Africa
BJA,Soummam,Bejaja,Algeria
BJB,Bojnourd Airport,Bojnourd,Iran
BJC,Rocky Mountain Metropolitan Airport,Broomfield-CO,United States
BJF,Batsfjord,Batsfjord,Norway
BJH,Bajhang,Bajhang,Nepal
BJI,Bemidji Regional Airport,Bemidji,United States
BJL,Banjul Intl,Banjul,Gambia
BJM,Bujumbura Intl,Bujumbura,Burundi
BJO,Bermejo,Bermejo,Bolivia
BJP,Aeroporto Estadual Arthur Siqueira,Braganca Paulista,Brazil
BJR,Bahir Dar,Bahar Dar,Ethiopia
BJS,All Airports,Beijing,China
BJT,Bentota Airport,Bentota,Sri Lanka
BJU,Bajura Airport,Bajura,Nepal
BJV,Bodrum - Milas,Bodrum,Turkey
BJX,Guanajuato Intl,Del Bajio,Mexico
BJZ,Talavera La Real,Badajoz,Spain
BKA,Bykovo,Moscow,Russia
BKC,Buckland Airport,Buckland,United States
BKD,Stephens Co,Breckenridge,United States
BKF,Buckley Afb,Buckley,United States
BKG,Branson LLC,Branson,United States
BKH,Barking Sands Pmrf,Barking Sands,United States
BKI,Kota Kinabalu Intl,Kota Kinabalu,Malaysia
BKK,Suvarnabhumi Intl,Bangkok,Thailand
BKL,Burke Lakefront Airport,Cleveland,United States
BKM,Bakalalan Airport,Bakalalan,Malaysia
BKN,Balkanabat,Balkanabat,Turkmenistan
BKO,Senou,Bamako,Mali
BKQ,Blackall,Blackall,Australia
BKS,Fatmawati Soekarno,Bengkulu,Indonesia
BKW,Raleigh County Memorial Airport,Beckley,United States
BKX,Brookings Regional Airport,Brookings,United States
BKY,Bukavu Kavumu,Bukavu/kavumu,Congo (Kinshasa)
BKZ,Bukoba Airport,Bukoba,Tanzania
BLA,General Jose Antonio Anzoategui Intl,Barcelona,Venezuela
BLD,Boulder City Municipal Airport,Boulder City,United States
BLE,Borlange,Borlange,Sweden
BLF,Mercer County Airport,Bluefield,United States
